Wall time,Round,Iteration,Value,Max Value,
1644368456.80825,1,,0.150907561182976,0.150907561182976,
1644368490.30067,2,,0.109117768704891,0.150907561182976,
1644368522.80666,3,,0.132334321737289,0.150907561182976,
1644368558.63576,4,,0.173807516694069,0.173807516694069,
1644368600.1925,5,,0.152384966611862,0.173807516694069,
1644368635.32541,6,,0.167264670133591,0.173807516694069,
1644368678.53156,7,,0.15692275762558,0.173807516694069,
1644368716.67799,8,,0.152384966611862,0.173807516694069,
1644368753.19413,9,,0.102258339524269,0.173807516694069,
1644368792.79193,10,,0.150907561182976,0.173807516694069,
1644368826.93984,11,,0.151540741324425,0.173807516694069,
1644368860.2906,12,,0.160721823573113,0.173807516694069,
1644368893.26586,13,,0.114499792456627,0.173807516694069,
1644368927.64278,14,,0.130329251289368,0.173807516694069,
1644368961.86186,15,,0.136449977755547,0.173807516694069,
1644368995.62373,16,,0.207260444760323,0.207260444760323,
1644369028.70602,17,,0.223089918494225,0.223089918494225,
1644369062.30172,18,,0.146264240145683,0.223089918494225,
1644369096.27462,19,,0.198290422558785,0.223089918494225,
1644369138.78655,20,,0.223617553710937,0.223617553710937,
1644369189.83185,21,,0.216863662004471,0.223617553710937,
1644369241.93626,22,,0.216441541910171,0.223617553710937,
1644369293.2809,23,,0.143309414386749,0.223617553710937,
1644369348.07957,24,,0.1784508228302,0.223617553710937,
1644369398.03034,25,,0.152068376541138,0.223617553710937,
1644369447.2437,26,,0.200506538152695,0.223617553710937,
1644369500.26031,27,,0.231743350625038,0.231743350625038,
1644369551.18845,28,,0.237336426973343,0.237336426973343,
1644369601.04982,29,,0.165892779827118,0.237336426973343,
1644369651.28237,30,,0.185521319508553,0.237336426973343,
1644369703.04667,31,,0.243246093392372,0.243246093392372,
1644369757.21831,32,,0.223406493663788,0.243246093392372,
1644369811.49062,33,,0.275327146053314,0.275327146053314,
1644369867.79438,34,,0.248100459575653,0.275327146053314,
1644369935.53918,35,,0.250633180141449,0.275327146053314,
1644370003.72999,36,,0.218763187527657,0.275327146053314,
1644370072.51114,37,,0.235859006643295,0.275327146053314,
1644370151.12422,38,,0.216547071933746,0.275327146053314,
1644370230.98741,39,,0.227416634559631,0.275327146053314,
1644370317.70157,40,,0.255593091249466,0.275327146053314,
1644370413.89938,41,,0.165892779827118,0.275327146053314,
1644370503.87348,42,,0.25021106004715,0.275327146053314,
1644370603.70308,43,,0.288940489292145,0.288940489292145,
1644370701.02588,44,,0.17866188287735,0.288940489292145,
1644370778.00871,45,,0.258653432130814,0.288940489292145,
1644370880.71004,46,,0.214858591556549,0.288940489292145,
1644370977.73611,47,,0.275749266147614,0.288940489292145,
1644371062.33242,48,,0.278915166854858,0.288940489292145,
1644371156.4183,49,,0.248839169740677,0.288940489292145,
1644371210.84842,50,,0.227522164583206,0.288940489292145,
1644371263.14206,51,,0.231743350625038,0.288940489292145,
1644371319.52152,52,,0.277543276548386,0.288940489292145,
1644371371.05153,53,,0.272477835416794,0.288940489292145,
1644371425.98907,54,,0.308252424001694,0.308252424001694,
1644371480.57326,55,,0.254010140895843,0.308252424001694,
1644371531.65204,56,,0.19248628616333,0.308252424001694,
1644371590.96288,57,,0.251794010400772,0.308252424001694,
1644371642.79331,58,,0.271633595228195,0.308252424001694,
1644371696.57852,59,,0.206732794642448,0.308252424001694,
1644371750.99821,60,,0.20367243885994,0.308252424001694,
1644371800.16206,61,,0.192064166069031,0.308252424001694,
1644371852.71433,62,,0.263507813215256,0.308252424001694,
1644371904.30207,63,,0.243246093392372,0.308252424001694,
1644371953.13589,64,,0.232271000742912,0.308252424001694,
1644372004.09598,65,,0.26382440328598,0.308252424001694,
1644372050.05793,66,,0.27458843588829,0.308252424001694,
1644372101.79295,67,,0.195018991827965,0.308252424001694,
1644372152.30332,68,,0.284613758325577,0.308252424001694,
1644372198.96403,69,,0.292528480291367,0.308252424001694,
1644372248.86053,70,,0.34634867310524,0.34634867310524,
1644372294.58325,71,,0.301709592342377,0.34634867310524,
1644372343.40336,72,,0.281025737524033,0.34634867310524,
1644372391.59034,73,,0.295377790927887,0.34634867310524,
1644372439.62859,74,,0.254643321037292,0.34634867310524,
1644372489.82456,75,,0.29959899187088,0.34634867310524,
1644372539.02092,76,,0.336323350667953,0.34634867310524,
1644372585.47548,77,,0.258864492177963,0.34634867310524,
1644372640.90233,78,,0.312262564897537,0.34634867310524,
1644372689.53013,79,,0.32439848780632,0.34634867310524,
1644372737.78754,80,,0.355740815401077,0.355740815401077,
1644372786.59643,81,,0.281658917665482,0.355740815401077,
1644372832.17991,82,,0.31806668639183,0.355740815401077,
1644372884.12081,83,,0.218235537409782,0.355740815401077,
1644372930.2862,84,,0.306880533695221,0.355740815401077,
1644372977.80981,85,,0.347298443317413,0.355740815401077,
1644373027.27867,86,,0.242401853203773,0.355740815401077,
1644373074.34397,87,,0.276593506336212,0.355740815401077,
1644373123.35155,88,,0.344554662704468,0.355740815401077,
1644373173.11924,89,,0.278915166854858,0.355740815401077,
1644373223.07447,90,,0.311523854732513,0.355740815401077,
1644373274.47305,91,,0.288412839174271,0.355740815401077,
1644373322.56355,92,,0.316905856132507,0.355740815401077,
1644373370.36141,93,,0.342549592256546,0.355740815401077,
1644373418.94338,94,,0.308041363954544,0.355740815401077,
1644373465.23875,95,,0.345293372869492,0.355740815401077,
1644373515.41716,96,,0.317327976226807,0.355740815401077,
1644373564.64993,97,,0.381806671619415,0.381806671619415,
1644373613.09971,98,,0.379590541124344,0.381806671619415,
1644373664.88775,99,,0.368932038545609,0.381806671619415,
1644373712.48659,100,,0.270261704921722,0.381806671619415,
1644373761.82787,101,,0.301076412200928,0.381806671619415,
1644373808.95303,102,,0.334318280220032,0.381806671619415,
1644373857.82649,103,,0.383389621973038,0.383389621973038,
1644373909.53607,104,,0.352785974740982,0.383389621973038,
1644373954.67227,105,,0.320599406957626,0.383389621973038,
1644374003.14872,106,,0.380329251289368,0.383389621973038,
1644374053.84925,107,,0.364499777555466,0.383389621973038,
1644374099.28854,108,,0.285669058561325,0.383389621973038,
1644374146.95561,109,,0.340438991785049,0.383389621973038,
1644374193.05685,110,,0.345504432916641,0.383389621973038,
1644374242.68139,111,,0.334107220172882,0.383389621973038,
1644374288.5395,112,,0.335268050432205,0.383389621973038,
1644374337.43339,113,,0.308991134166718,0.383389621973038,
1644374387.94912,114,,0.342549592256546,0.383389621973038,
1644374433.30906,115,,0.347192913293838,0.383389621973038,
1644374486.33056,116,,0.264352053403854,0.383389621973038,
1644374535.97726,117,,0.34307724237442,0.383389621973038,
1644374582.42539,118,,0.327458828687668,0.383389621973038,
1644374634.59173,119,,0.310996204614639,0.383389621973038,
1644374680.39615,120,,0.28598564863205,0.383389621973038,
1644374730.24819,121,,0.373364299535751,0.383389621973038,
1644374784.50439,122,,0.315006345510483,0.383389621973038,
1644374833.39343,123,,0.280392557382584,0.383389621973038,
1644374881.70268,124,,0.261608272790909,0.383389621973038,
1644374932.00287,125,,0.262241452932358,0.383389621973038,
1644374977.10495,126,,0.311629384756088,0.383389621973038,
1644375026.01327,127,,0.347720563411713,0.383389621973038,
1644375073.76585,128,,0.317750096321106,0.383389621973038,
1644375120.3596,129,,0.309096664190292,0.383389621973038,
1644375166.98451,130,,0.276910096406937,0.383389621973038,
1644375214.75613,131,,0.252954840660095,0.383389621973038,
1644375266.66271,132,,0.3569016456604,0.383389621973038,
1644375318.34475,133,,0.388982683420181,0.388982683420181,
1644375365.03526,134,,0.283241868019104,0.388982683420181,
1644375415.37868,135,,0.289890259504318,0.388982683420181,
1644375459.61508,136,,0.364921897649765,0.388982683420181,
1644375508.62023,137,,0.34940904378891,0.388982683420181,
1644375556.77597,138,,0.344976782798767,0.388982683420181,
1644375604.0695,139,,0.335056990385056,0.388982683420181,
1644375652.79521,140,,0.360489666461945,0.388982683420181,
1644375699.13053,141,,0.292317420244217,0.388982683420181,
1644375747.36484,142,,0.38476151227951,0.388982683420181,
1644375794.54265,143,,0.376424640417099,0.388982683420181,
1644375841.95961,144,,0.406817227602005,0.406817227602005,
1644375891.20606,145,,0.40037989616394,0.406817227602005,
1644375939.7464,146,,0.336639940738678,0.406817227602005,
1644375989.88968,147,,0.416737020015717,0.416737020015717,
1644376036.48693,148,,0.447235107421875,0.447235107421875,
1644376084.46733,149,,0.363233417272568,0.447235107421875,
1644376133.02164,150,,0.293900370597839,0.447235107421875,
1644376178.28882,151,,0.251582950353622,0.447235107421875,
1644376228.81115,152,,0.229316160082817,0.447235107421875,
1644376276.20792,153,,0.317855626344681,0.447235107421875,
1644376322.20058,154,,0.352891504764557,0.447235107421875,
1644376374.67813,155,,0.334107220172882,0.447235107421875,
1644376421.01077,156,,0.345715492963791,0.447235107421875,
1644376468.62839,157,,0.283875048160553,0.447235107421875,
1644376515.12053,158,,0.408611238002777,0.447235107421875,
1644376563.51037,159,,0.37093710899353,0.447235107421875,
1644376613.55973,160,,0.343604892492294,0.447235107421875,
1644376658.78839,161,,0.336323350667953,0.447235107421875,
1644376709.76411,162,,0.31342339515686,0.447235107421875,
1644376758.72335,163,,0.34613761305809,0.447235107421875,
1644376806.28741,164,,0.363127887248993,0.447235107421875,
1644376859.13499,165,,0.334951460361481,0.447235107421875,
1644376907.27347,166,,0.423701971769333,0.447235107421875,
1644376956.40298,167,,0.460215270519257,0.460215270519257,
1644377009.09496,168,,0.351941734552383,0.460215270519257,
1644377054.44684,169,,0.387505263090134,0.460215270519257,
1644377103.75267,170,,0.333474040031433,0.460215270519257,
1644377151.65806,171,,0.340438991785049,0.460215270519257,
1644377197.02865,172,,0.422752201557159,0.460215270519257,
1644377248.00495,173,,0.3386450111866,0.460215270519257,
1644377298.09319,174,,0.391726464033127,0.460215270519257,
1644377345.01903,175,,0.397636145353317,0.460215270519257,
1644377392.8807,176,,0.342549592256546,0.460215270519257,
1644377440.28731,177,,0.373680889606476,0.460215270519257,
1644377489.80125,178,,0.274377375841141,0.460215270519257,
1644377539.5998,179,,0.367243558168411,0.460215270519257,
1644377588.74965,180,,0.321654707193375,0.460215270519257,
1644377639.0924,181,,0.365132957696915,0.460215270519257,
1644377682.98347,182,,0.383917272090912,0.460215270519257,
1644377733.84208,183,,0.406500637531281,0.460215270519257,
1644377781.75027,184,,0.403229206800461,0.460215270519257,
1644377829.83396,185,,0.357640355825424,0.460215270519257,
1644377877.24578,186,,0.383073031902313,0.460215270519257,
1644377923.90991,187,,0.363866597414017,0.460215270519257,
1644377974.09511,188,,0.382334321737289,0.460215270519257,
1644378020.4695,189,,0.393731534481049,0.460215270519257,
1644378067.87896,190,,0.419164210557938,0.460215270519257,
1644378116.52376,191,,0.408189117908478,0.460215270519257,
1644378162.17354,192,,0.382967501878738,0.460215270519257,
1644378209.24469,193,,0.457999169826508,0.460215270519257,
1644378256.3436,194,,0.316483736038208,0.460215270519257,
1644378303.98197,195,,0.37579146027565,0.460215270519257,
1644378358.1183,196,,0.38518363237381,0.460215270519257,
1644378404.04306,197,,0.404073446989059,0.460215270519257,
1644378454.25236,198,,0.409666538238525,0.460215270519257,
1644378504.59232,199,,0.458948910236359,0.460215270519257,
1644378549.93187,200,,0.331152379512787,0.460215270519257,0.460215270519257
